zip,city,county,state,pop,jobs
22101,Mc Lean,Fairfax,VI,29892,423
19083,Havertown,Delaware,PA,36633,423
18966,Southampton,Bucks,PA,37739,422
19001,Abington,Montgomery,PA,17139,422
22311,Alexandria,Alexandria City,VI,19002,421
98028,Kenmore,King,WA,22738,421
20905,Silver Spring,Montgomery,MD,18662,421
75252,Dallas,Dallas,TX,26867,421
19003,Ardmore,Delaware,PA,13427,421
75204,Dallas,Dallas,TX,30537,421
75206,Dallas,Dallas,TX,39010,421
01760,Natick,Middlesex,MA,35761,421
20851,Rockville,Montgomery,MD,15489,420
60056,Mount Prospect,Cook,IL,54524,420
60016,Des Plaines,Cook,IL,59291,420
75243,Dallas,Dallas,TX,68308,420
75054,Grand Prairie,Dallas,TX,11927,420
22031,Fairfax,Fairfax City,VI,33379,420
98110,Bainbridge Island,Kitsap,WA,24486,419
19020,Bensalem,Bucks,PA,54985,419
60517,Woodridge,Du Page,IL,32390,419
19102,Philadelphia,Philadelphia,PA,5147,419
75205,Dallas,Dallas,TX,24877,419
60631,Chicago,Cook,IL,29529,419
22312,Alexandria,Fairfax,VI,32566,418
20815,Chevy Chase,Montgomery,MD,30664,418
20712,Mount Rainier,Prince Georges,MD,9608,418
98115,Seattle,King,WA,54109,418
92630,Lake Forest,Orange,CA,59403,417
98122,Seattle,King,WA,39305,417
19026,Drexel Hill,Delaware,PA,30573,417
19130,Philadelphia,Philadelphia,PA,27093,417
19150,Philadelphia,Philadelphia,PA,22299,417
98155,Seattle,King,WA,35041,416
20722,Brentwood,Prince Georges,MD,5728,416
98177,Seattle,King,WA,20676,416
19046,Jenkintown,Montgomery,PA,17660,416
19041,Haverford,Delaware,PA,6494,416
20901,Silver Spring,Montgomery,MD,36278,416
22003,Annandale,Fairfax,VI,59375,415
22202,Arlington,Arlington,VI,25409,415
98011,Bothell,King,WA,33830,415
60004,Arlington Heights,Cook,IL,50639,415
60651,Chicago,Cook,IL,63492,415
19023,Darby,Delaware,PA,22088,415
19096,Wynnewood,Montgomery,PA,13695,415
98021,Bothell,Snohomish,WA,31496,415
91307,West Hills,Los Angeles,CA,26341,414
22182,Vienna,Fairfax,VI,26124,414
22304,Alexandria,Alexandria City,VI,48510,414
20814,Bethesda,Montgomery,MD,29021,414
20742,College Park,Prince Georges,MD,6726,414
98058,Renton,King,WA,43740,414
60189,Wheaton,Du Page,IL,29999,414
60706,Harwood Heights,Cook,IL,23114,414
60639,Chicago,Cook,IL,88204,414
19064,Springfield,Delaware,PA,24664,414
19129,Philadelphia,Philadelphia,PA,11275,414
91786,Upland,San Bernardino,CA,53697,413
92657,Newport Coast,Orange,CA,9802,413
98075,Sammamish,King,WA,23996,413
60302,Oak Park,Cook,IL,31620,413
60068,Park Ridge,Cook,IL,37433,413
60459,Burbank,Cook,IL,28709,413
19428,Conshohocken,Montgomery,PA,17222,413
19010,Bryn Mawr,Delaware,PA,21572,413
19127,Philadelphia,Philadelphia,PA,5760,413
76039,Euless,Tarrant,TX,36087,413
22151,Springfield,Fairfax,VI,17917,412
22180,Vienna,Fairfax,VI,24366,412
20770,Greenbelt,Prince Georges,MD,24560,412
60612,Chicago,Cook,IL,33735,412
22302,Alexandria,Alexandria City,VI,17566,411
22206,Arlington,Arlington,VI,20508,411
20903,Silver Spring,Montgomery,MD,27973,411
20866,Burtonsville,Montgomery,MD,16365,411
19087,Wayne,Delaware,PA,32765,411
76034,Colleyville,Tarrant,TX,26418,411
22124,Oakton,Fairfax,VI,18530,410
22305,Alexandria,Alexandria City,VI,18579,410
22181,Vienna,Fairfax,VI,15350,410
20737,Riverdale,Prince Georges,MD,22295,410
60656,Chicago,Cook,IL,28218,410
60624,Chicago,Cook,IL,34892,410
19133,Philadelphia,Philadelphia,PA,27102,410
19006,Huntingdon Valley,Montgomery,PA,21899,410
75080,Richardson,Dallas,TX,52531,410
98074,Sammamish,King,WA,28775,409
98034,Kirkland,King,WA,43471,409
20710,Bladensburg,Prince Georges,MD,9553,409
19053,Feasterville Trevose,Bucks,PA,26293,409
60415,Chicago Ridge,Cook,IL,14123,409
98042,Kent,King,WA,48572,408
20782,Hyattsville,Prince Georges,MD,33398,408
19118,Philadelphia,Philadelphia,PA,10884,408
76092,Southlake,Tarrant,TX,31424,408
80003,Arvada,Jefferson,CO,36480,408
22301,Alexandria,Alexandria City,VI,13377,407
20781,Hyattsville,Prince Georges,MD,11694,407
19122,Philadelphia,Philadelphia,PA,21666,407
19090,Willow Grove,Montgomery,PA,18357,407
80031,Westminster,Adams,CO,35741,407
22102,Mc Lean,Fairfax,VI,25627,406
